Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude,geometry
2017,28/11,28/11/2017,Kedah,Kota Setar,Titi Gajah,"Titi Gajah, Kota Setar, Kedah",1,6.2037067,100.3996032,POINT (100.3996032 6.2037067)
2017,28/11,28/11/2017,Kedah,Kota Setar,Kg. Simpang 3,"Kg. Simpang 3, Kota Setar, Kedah",1,6.10538635,100.3512158,POINT (100.35121575343467 6.10538635)
2017,28/11,28/11/2017,Kedah,Kota Setar,Kg. Bukit Pinang,"Kg. Bukit Pinang, Kota Setar, Kedah",1,6.20039285,100.4314156,POINT (100.43141559350961 6.20039285)
2018,1-Jan,1/1/2018,Kelantan,Gua Musang,Sg. Galas,"Sg. Galas, Gua Musang, Kelantan",1,5.32305025,102.0186921,POINT (102.01869206207141 5.32305025)
2017,1-Jan,1/1/2017,Kelantan,Tanah Merah,Bukit Panau,"Bukit Panau, Tanah Merah, Kelantan",1,5.8855969,102.1583028,POINT (102.1583028 5.8855969)
2017,28/11,28/11/2017,Kelantan,Jeli,Kg. Ayer Lanas,"Kg. Ayer Lanas, Jeli, Kelantan",1,5.783778,101.8876408,POINT (101.8876408 5.783778)
2017,28/11,28/11/2017,Kelantan,Jeli,Kg. Sg. Satan,"Kg. Sg. Satan, Jeli, Kelantan",1,5.728056,101.908889,POINT (101.908889 5.728056)
2017,28/11,28/11/2017,Kelantan,Jeli,Kg. Legeh,"Kg. Legeh, Jeli, Kelantan",1,5.7526815,101.8993016,POINT (101.8993016 5.7526815)
2017,27/1,27/1/2017,Kelantan,Jeli,Kg. Jeli Lama,"Kg. Jeli Lama, Jeli, Kelantan",1,5.74597895,101.8658263,POINT (101.86582626349171 5.74597895)
2017,27/1,27/1/2017,Kelantan,Jeli,Kg. Lakota,"Kg. Lakota, Jeli, Kelantan",1,5.7219636,101.857267,POINT (101.857267 5.7219636)
2017,27/1,27/1/2017,Kelantan,Jeli,Kg. Gemang,"Kg. Gemang, Jeli, Kelantan",1,5.74597895,101.8658263,POINT (101.86582626349171 5.74597895)
2017,27/1,27/1/2017,Kelantan,Jeli,Kg. Sg. Satan,"Kg. Sg. Satan, Jeli, Kelantan",1,5.728056,101.908889,POINT (101.908889 5.728056)
2017,27/1,27/1/2017,Kelantan,Jeli,Kg. Kuala Balah,"Kg. Kuala Balah, Jeli, Kelantan",1,5.4433023,101.9123335,POINT (101.9123335 5.4433023)
2017,27/1,27/1/2017,Kelantan,Jeli,Kg. Lubok Bongor,"Kg. Lubok Bongor, Jeli, Kelantan",1,5.5636772,101.8847594,POINT (101.8847594 5.5636772)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,28/11,28/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,28/11,28/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
